"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Culpeper County, VA"	"51047"	595	255386	233.0	193.5
	"Cumberland County, VA"	"51049"	167	48020	347.8	229.1
	"Dickenson County, VA"	"51051"	348	71045	489.8	315.9
	"Dinwiddie County, VA"	"51053"	444	139722	317.8	239.2
	"Essex County, VA"	"51057"	189	53578	352.8	232.7
	"Fairfax County, VA"	"51059"	5957	5647301	105.5	101.6
	"Fauquier County, VA"	"51061"	695	345938	200.9	157.4
	"Floyd County, VA"	"51063"	227	76943	295.0	187.4
	"Fluvanna County, VA"	"51065"	306	131489	232.7	163.0
	"Franklin County, VA"	"51067"	869	274680	316.4	198.2
	"Frederick County, VA"	"51069"	1044	431233	242.1	187.3
	"Giles County, VA"	"51071"	354	81832	432.6	286.3
	"Gloucester County, VA"	"51073"	612	182867	334.7	236.0
	"Goochland County, VA"	"51075"	283	114280	247.6	160.1
	"Grayson County, VA"	"51077"	298	75153	396.5	233.9
	"Greene County, VA"	"51079"	200	97168	205.8	164.8
	"Greensville County, VA"	"51081"	229	56870	402.7	334.8
	"Halifax County, VA"	"51083"	702	166167	422.5	266.3
	"Hanover County, VA"	"51085"	1212	522730	231.9	178.7
	"Henrico County, VA"	"51087"	3429	1613583	212.5	187.2
	"Henry County, VA"	"51089"	1048	246899	424.5	261.8
	"Highland County, VA"	"51091"	39	10679	365.2	175.7
	"Isle of Wight County, VA"	"51093"	480	181049	265.1	189.1
	"James City County, VA"	"51095"	861	368792	233.5	138.8
	"King and Queen County, VA"	"51097"	143	34171	418.5	273.1
	"King George County, VA"	"51099"	234	131388	178.1	170.7
	"King William County, VA"	"51101"	220	83514	263.4	214.0
	"Lancaster County, VA"	"51103"	260	50861	511.2	234.2
	"Lee County, VA"	"51105"	527	115762	455.2	298.6
	"Loudoun County, VA"	"51107"	1807	2005526	90.1	112.5
	"Louisa County, VA"	"51109"	543	180425	301.0	209.9
	"Lunenburg County, VA"	"51111"	247	59647	414.1	275.5
	"Madison County, VA"	"51113"	187	64543	289.7	191.9
	"Mathews County, VA"	"51115"	163	42430	384.2	182.9
	"Mecklenburg County, VA"	"51117"	707	149043	474.4	289.2
	"Middlesex County, VA"	"51119"	211	51386	410.6	207.6
	"Montgomery County, VA"	"51121"	887	485582	182.7	194.5
	"Nelson County, VA"	"51125"	251	72529	346.1	196.1
	"New Kent County, VA"	"51127"	268	110683	242.1	193.2
	"Northampton County, VA"	"51131"	233	57002	408.8	237.6
	"Northumberland County, VA"	"51133"	246	58406	421.2	188.7
	"Nottoway County, VA"	"51135"	315	75069	419.6	301.6
	"Orange County, VA"	"51137"	517	178881	289.0	200.0
	"Page County, VA"	"51139"	491	116458	421.6	269.1
	"Patrick County, VA"	"51141"	394	85930	458.5	250.1
	"Pittsylvania County, VA"	"51143"	1088	296811	366.6	231.7
	"Powhatan County, VA"	"51145"	310	143886	215.4	160.2
	"Prince Edward County, VA"	"51147"	332	111692	297.2	257.1
	"Prince George County, VA"	"51149"	349	188010	185.6	171.4
	"Prince William County, VA"	"51153"	2888	2311901	124.9	147.5
	"Pulaski County, VA"	"51155"	747	166456	448.8	280.4
	"Rappahannock County, VA"	"51157"	95	35591	266.9	142.2
	"Richmond County, VA"	"51159"	152	43348	350.7	236.0
